Ano,Municipio,Dependencia_Administrativa,Creche_Parcial,Creche_Integral,Pre_Parcial,Pre_Integral,Fund_Iniciais_Parcial,Fund_Iniciais_Integral,Fund_Finais_Parcial,Fund_Finais_Integral,EJA_Parcial,EJA_Integral,Fundamental_Total,Medio_Total
2020,FORTALEZA,ESTADUAL URBANA,0,0,28,0,43,0,436,0,1274,495,240,89
2020,FORTALEZA,ESTADUAL RURAL,0,0,0,0,0,0,0,0,0,0,0,0
2020,FORTALEZA,MUNICIPAL URBANA,92,139,673,19,4177,1289,2647,564,0,0,390,0
2020,FORTALEZA,MUNICIPAL RURAL,0,0,0,0,0,0,0,0,0,0,0,0
2020,FORTALEZA,ESTADUAL E MUNICIPAL,92,139,701,19,4220,1289,3083,564,1274,495,630,89
2021,FORTALEZA,ESTADUAL URBANA,0,0,7,0,62,0,358,0,1468,583,205,89
2021,FORTALEZA,ESTADUAL RURAL,0,0,0,0,0,0,0,0,0,0,0,0
2021,FORTALEZA,MUNICIPAL URBANA,54,114,757,21,4114,834,3056,902,0,0,297,0
2021,FORTALEZA,MUNICIPAL RURAL,0,0,0,0,0,0,0,0,0,0,0,0
2021,FORTALEZA,ESTADUAL E MUNICIPAL,54,114,764,21,4176,834,3414,902,1468,583,502,89
2022,FORTALEZA,ESTADUAL URBANA,0,5,7,3,71,1,394,0,1711,924,138,123
2022,FORTALEZA,ESTADUAL RURAL,0,0,0,0,0,0,0,0,0,0,0,0
2022,FORTALEZA,MUNICIPAL URBANA,127,317,1175,6,4347,878,3378,1083,0,0,211,0
2022,FORTALEZA,MUNICIPAL RURAL,0,0,0,0,0,0,0,0,0,0,0,0
2022,FORTALEZA,ESTADUAL E MUNICIPAL,127,322,1182,9,4418,879,3772,1083,1711,924,349,123
2023,FORTALEZA,ESTADUAL URBANA,0,1,6,6,58,2,321,0,1823,1071,143,127
2023,FORTALEZA,ESTADUAL RURAL,0,0,0,0,0,0,0,0,0,0,0,0
2023,FORTALEZA,MUNICIPAL URBANA,166,489,1974,5,5603,597,3158,1921,0,0,144,0
2023,FORTALEZA,MUNICIPAL RURAL,0,0,0,0,0,0,0,0,0,0,0,0
2023,FORTALEZA,ESTADUAL E MUNICIPAL,166,490,1980,11,5661,599,3479,1921,1823,1071,287,127
2024,FORTALEZA,ESTADUAL URBANA,0,1,3,5,71,2,258,0,1965,1446,156,108
2024,FORTALEZA,ESTADUAL RURAL,0,0,0,0,0,0,0,0,0,0,0,0
2024,FORTALEZA,MUNICIPAL URBANA,257,859,3417,0,6035,2620,199,5595,0,0,124,0
2024,FORTALEZA,MUNICIPAL RURAL,0,0,0,0,0,0,0,0,0,0,0,0
2024,FORTALEZA,ESTADUAL E MUNICIPAL,257,860,3420,5,6106,2622,457,5595,1965,1446,280,108
2025,FORTALEZA,ESTADUAL URBANA,0,57,0,58,738,23,2951,0,39649,29199,270,2689
2025,FORTALEZA,ESTADUAL RURAL,0,0,0,0,0,0,0,0,0,0,0,0
2025,FORTALEZA,MUNICIPAL URBANA,2034,13795,25442,0,28837,51638,620,69986,0,0,4523,0
2025,FORTALEZA,MUNICIPAL RURAL,0,0,0,0,0,0,0,0,0,0,0,0
2025,FORTALEZA,ESTADUAL E MUNICIPAL,2034,13852,25442,58,29575,51661,3571,69986,39649,29199,4793,2689
